"site_short","netNr","julian_day","nSpec"
"BB-D2-23","9",27,1
"BB-D2-23","9",28,1
"BB-D3-23","11",24,3
"BB-D3-23","11",25,2
"BB-D3-23","11",26,2
"BB-D3-23","11",27,2
"BB-D3-23","12",24,3
"BB-D3-23","12",25,7
"BB-D3-23","12",26,3
"BB-D3-23","12",27,0
"BB-D3-23","13",24,5
"BB-D3-23","13",25,6
"BB-D3-23","13",26,6
"BB-D3-23","13",27,1
"BB-D3-23","14",24,5
"BB-D3-23","14",25,6
"BB-D3-23","14",26,3
"BB-D3-23","14",27,2
"BB-D3-23","15",24,4
"BB-D3-23","15",25,6
"BB-D3-23","15",26,7
"BB-D3-23","15",27,3
"BB-E1-23","1",23,2
"BB-E1-23","1",24,1
"BB-E1-23","1",25,3
"BB-E1-23","1",27,5
"BB-E1-23","10",23,1
"BB-E1-23","10",24,1
"BB-E1-23","10",25,2
"BB-E1-23","10",27,5
"BB-E1-23","2",23,0
"BB-E1-23","2",24,1
"BB-E1-23","2",25,2
"BB-E1-23","2",27,3
"BB-E1-23","3",23,1
"BB-E1-23","3",24,2
"BB-E1-23","3",25,1
"BB-E1-23","3",27,5
"BB-E1-23","4",23,2
"BB-E1-23","4",24,3
"BB-E1-23","4",25,1
"BB-E1-23","4",27,5
"BB-E1-23","5",23,4
"BB-E1-23","5",24,3
"BB-E1-23","5",25,4
"BB-E1-23","5",27,5
"BB-E1-23","6",23,3
"BB-E1-23","6",24,0
"BB-E1-23","6",25,6
"BB-E1-23","6",27,4
"BB-E1-23","7",23,2
"BB-E1-23","7",24,5
"BB-E1-23","7",25,2
"BB-E1-23","7",27,4
"BB-E1-23","8",23,3
"BB-E1-23","8",24,3
"BB-E1-23","8",25,4
"BB-E1-23","8",27,4
"BB-E1-23","9",23,3
"BB-E1-23","9",24,4
"BB-E1-23","9",25,3
"BB-E1-23","9",27,5
"BB-F1-23","1",23,1
"BB-F1-23","1",24,1
"BB-F1-23","1",25,1
"BB-F1-23","1",26,6
"BB-F1-23","10",23,0
"BB-F1-23","10",24,0
"BB-F1-23","10",25,1
"BB-F1-23","10",26,1
"BB-F1-23","2",23,2
"BB-F1-23","2",24,1
"BB-F1-23","2",25,0
"BB-F1-23","2",26,5
"BB-F1-23","3",23,0
"BB-F1-23","3",24,0
"BB-F1-23","3",25,0
"BB-F1-23","3",26,3
"BB-F1-23","4",23,0
"BB-F1-23","4",24,0
"BB-F1-23","4",25,0
"BB-F1-23","4",26,2
"BB-F1-23","5",23,1
"BB-F1-23","5",24,0
"BB-F1-23","5",25,0
"BB-F1-23","5",26,0
"BB-F1-23","6",23,1
"BB-F1-23","6",24,0
"BB-F1-23","6",25,1
"BB-F1-23","6",26,2
"BB-F1-23","7",23,2
"BB-F1-23","7",24,0
"BB-F1-23","7",25,0
"BB-F1-23","7",26,1
"BB-F1-23","8",23,0
"BB-F1-23","8",24,0
"BB-F1-23","8",25,0
"BB-F1-23","8",26,1
"BB-F1-23","9",23,0
"BB-F1-23","9",24,0
"BB-F1-23","9",25,0
"BB-F1-23","9",26,1
"BB-F2-23","1",23,0
"BB-F2-23","1",24,1
"BB-F2-23","1",25,0
"BB-F2-23","1",26,2
"BB-F2-23","10",23,1
"BB-F2-23","10",24,1
"BB-F2-23","10",25,1
"BB-F2-23","10",26,0
"BB-F2-23","2",23,1
"BB-F2-23","2",24,0
"BB-F2-23","2",25,0
"BB-F2-23","2",26,5
"BB-F2-23","3",23,0
"BB-F2-23","3",24,0
"BB-F2-23","3",25,0
"BB-F2-23","3",26,3
"BB-F2-23","4",23,0
"BB-F2-23","4",24,0
"BB-F2-23","4",25,0
"BB-F2-23","4",26,4
"BB-F2-23","5",23,2
"BB-F2-23","5",24,0
"BB-F2-23","5",25,0
"BB-F2-23","5",26,0
"BB-F2-23","6",23,0
"BB-F2-23","6",24,0
"BB-F2-23","6",25,0
"BB-F2-23","6",26,0
"BB-F2-23","7",23,1
"BB-F2-23","7",24,1
"BB-F2-23","7",25,0
"BB-F2-23","7",26,2
"BB-F2-23","8",23,0
"BB-F2-23","8",24,0
"BB-F2-23","8",25,0
"BB-F2-23","8",26,0
"BB-F2-23","9",23,1
"BB-F2-23","9",24,0
"BB-F2-23","9",25,1
"BB-F2-23","9",26,1
"BB-MF-16","11",22,6
"BB-MF-16","11",23,2
"BB-MF-16","11",25,4
"BB-MF-16","11",26,6
"BB-MF-16","12",22,5
"BB-MF-16","12",23,1
"BB-MF-16","12",25,1
"BB-MF-16","12",26,2
"BB-MF-16","13",22,4
"BB-MF-16","13",23,0
"BB-MF-16","13",25,2
"BB-MF-16","13",26,3
"BB-MF-16","21",22,4
"BB-MF-16","21",23,1
"BB-MF-16","21",25,3
"BB-MF-16","21",26,2
"BB-MF-16","22",22,2
"BB-MF-16","22",23,1
"BB-MF-16","22",25,5
"BB-MF-16","22",26,4
"BB-MF-16","23",22,2
"BB-MF-16","23",23,0
"BB-MF-16","23",25,3
"BB-MF-16","23",26,3
"BB-MF-16","31",22,6
"BB-MF-16","31",23,3
"BB-MF-16","31",25,6
"BB-MF-16","31",26,10
"BB-MF-16","32",22,6
"BB-MF-16","32",23,2
"BB-MF-16","32",25,2
"BB-MF-16","32",26,7
"BB-MF-16","33",22,5
"BB-MF-16","33",23,3
"BB-MF-16","33",25,3
"BB-MF-16","33",26,2
"BB-MF-16","41",22,2
"BB-MF-16","41",23,1
"BB-MF-16","41",25,1
"BB-MF-16","41",26,1
"BB-MF-16","42",22,0
"BB-MF-16","42",23,1
"BB-MF-16","42",25,1
"BB-MF-16","42",26,1
"BB-MF-16","43",22,3
"BB-MF-16","43",23,2
"BB-MF-16","43",25,0
"BB-MF-16","43",26,2
"BB-MF-16","44",22,5
"BB-MF-16","44",23,2
"BB-MF-16","44",25,1
"BB-MF-16","44",26,1
"BB-MF-16","45",22,1
"BB-MF-16","45",23,0
"BB-MF-16","45",25,1
"BB-MF-16","45",26,0
"BB-MF-16","46",22,3
"BB-MF-16","46",23,0
"BB-MF-16","46",25,0
"BB-MF-16","46",26,1
"BB-MF-16","47",22,5
"BB-MF-16","47",23,1
"BB-MF-16","47",25,0
"BB-MF-16","47",26,1
"BW-G1-22","1",21,0
"BW-G1-22","1",23,3
"BW-G1-22","1",24,3
"BW-G1-22","1",25,1
"BW-G1-22","1",26,1
"BW-G1-22","1",27,0
"BW-G1-22","1",28,2
"BW-G1-22","1",29,3
"BW-G1-22","1",30,5
"BW-G1-22","1",31,3
"BW-G1-22","10",21,2
"BW-G1-22","10",23,7
"BW-G1-22","10",24,2
"BW-G1-22","10",25,6
"BW-G1-22","10",26,2
"BW-G1-22","10",27,1
"BW-G1-22","10",28,1
"BW-G1-22","10",29,3
"BW-G1-22","10",30,1
"BW-G1-22","10",31,1
"BW-G1-22","2",21,1
"BW-G1-22","2",23,3
"BW-G1-22","2",24,3
"BW-G1-22","2",25,1
"BW-G1-22","2",26,1
"BW-G1-22","2",27,0
"BW-G1-22","2",28,0
"BW-G1-22","2",29,3
"BW-G1-22","2",30,3
"BW-G1-22","2",31,2
"BW-G1-22","3",21,2
"BW-G1-22","3",23,4
"BW-G1-22","3",24,4
"BW-G1-22","3",25,1
"BW-G1-22","3",26,1
"BW-G1-22","3",27,3
"BW-G1-22","3",28,1
"BW-G1-22","3",29,4
"BW-G1-22","3",30,2
"BW-G1-22","3",31,2
"BW-G1-22","4",21,0
"BW-G1-22","4",23,3
"BW-G1-22","4",24,5
"BW-G1-22","4",25,4
"BW-G1-22","4",26,1
"BW-G1-22","4",27,4
"BW-G1-22","4",28,3
"BW-G1-22","4",29,3
"BW-G1-22","4",30,5
"BW-G1-22","4",31,4
"BW-G1-22","5",21,1
"BW-G1-22","5",23,7
"BW-G1-22","5",24,6
"BW-G1-22","5",25,6
"BW-G1-22","5",26,4
"BW-G1-22","5",27,3
"BW-G1-22","5",28,4
"BW-G1-22","5",29,4
"BW-G1-22","5",30,4
"BW-G1-22","5",31,2
"BW-G1-22","6",21,1
"BW-G1-22","6",23,2
"BW-G1-22","6",24,3
"BW-G1-22","6",25,3
"BW-G1-22","6",26,2
"BW-G1-22","6",27,1
"BW-G1-22","6",28,2
"BW-G1-22","6",29,2
"BW-G1-22","6",30,1
"BW-G1-22","6",31,1
"BW-G1-22","7",21,3
"BW-G1-22","7",23,5
"BW-G1-22","7",24,6
"BW-G1-22","7",25,4
"BW-G1-22","7",26,1
"BW-G1-22","7",27,2
"BW-G1-22","7",28,2
"BW-G1-22","7",29,3
"BW-G1-22","7",30,1
"BW-G1-22","7",31,0
"BW-G1-22","8",21,2
"BW-G1-22","8",23,5
"BW-G1-22","8",24,4
"BW-G1-22","8",25,3
"BW-G1-22","8",26,2
"BW-G1-22","8",27,1
"BW-G1-22","8",28,2
"BW-G1-22","8",29,3
"BW-G1-22","8",30,2
"BW-G1-22","8",31,1
"BW-G1-22","9",21,2
"BW-G1-22","9",23,4
"BW-G1-22","9",24,4
"BW-G1-22","9",25,4
"BW-G1-22","9",26,1
"BW-G1-22","9",27,1
"BW-G1-22","9",28,5
"BW-G1-22","9",29,5
"BW-G1-22","9",30,3
"BW-G1-22","9",31,0
"BW-G2-22","1",22,0
"BW-G2-22","1",23,4
"BW-G2-22","1",25,3
"BW-G2-22","1",26,1
"BW-G2-22","1",27,0
"BW-G2-22","1",28,2
"BW-G2-22","1",29,7
"BW-G2-22","1",30,3
"BW-G2-22","1",31,0
"BW-G2-22","10",22,0
"BW-G2-22","10",23,0
"BW-G2-22","10",25,2
"BW-G2-22","10",26,1
"BW-G2-22","10",27,1
"BW-G2-22","10",28,2
"BW-G2-22","10",29,3
"BW-G2-22","10",30,3
"BW-G2-22","10",31,1
"BW-G2-22","2",22,0
"BW-G2-22","2",23,1
"BW-G2-22","2",25,3
"BW-G2-22","2",26,0
"BW-G2-22","2",27,1
"BW-G2-22","2",28,2
"BW-G2-22","2",29,2
"BW-G2-22","2",30,0
"BW-G2-22","2",31,1
"BW-G2-22","3",22,0
"BW-G2-22","3",23,1
"BW-G2-22","3",25,2
"BW-G2-22","3",26,0
"BW-G2-22","3",27,0
"BW-G2-22","3",28,2
"BW-G2-22","3",29,3
"BW-G2-22","3",30,2
"BW-G2-22","3",31,2
"BW-G2-22","4",22,1
"BW-G2-22","4",23,0
"BW-G2-22","4",25,4
"BW-G2-22","4",26,0
"BW-G2-22","4",27,0
"BW-G2-22","4",28,3
"BW-G2-22","4",29,3
"BW-G2-22","4",30,0
"BW-G2-22","4",31,1
"BW-G2-22","5",22,1
"BW-G2-22","5",23,2
"BW-G2-22","5",25,1
"BW-G2-22","5",26,0
"BW-G2-22","5",27,1
"BW-G2-22","5",28,1
"BW-G2-22","5",29,1
"BW-G2-22","5",30,1
"BW-G2-22","5",31,0
"BW-G2-22","6",22,0
"BW-G2-22","6",23,2
"BW-G2-22","6",25,1
"BW-G2-22","6",26,1
"BW-G2-22","6",27,0
"BW-G2-22","6",28,2
"BW-G2-22","6",29,3
"BW-G2-22","6",30,4
"BW-G2-22","6",31,1
"BW-G2-22","7",22,0
"BW-G2-22","7",23,2
"BW-G2-22","7",25,2
"BW-G2-22","7",26,0
"BW-G2-22","7",27,0
"BW-G2-22","7",28,2
"BW-G2-22","7",29,3
"BW-G2-22","7",30,2
"BW-G2-22","7",31,3
"BW-G2-22","8",22,0
"BW-G2-22","8",23,1
"BW-G2-22","8",25,1
"BW-G2-22","8",26,0
"BW-G2-22","8",27,3
"BW-G2-22","8",28,2
"BW-G2-22","8",29,4
"BW-G2-22","8",30,1
"BW-G2-22","8",31,1
"BW-G2-22","9",22,0
"BW-G2-22","9",23,2
"BW-G2-22","9",25,2
"BW-G2-22","9",26,0
"BW-G2-22","9",27,1
"BW-G2-22","9",28,1
"BW-G2-22","9",29,4
"BW-G2-22","9",30,4
"BW-G2-22","9",31,0
"BW-G3-22","1",28,5
"BW-G3-22","1",29,4
"BW-G3-22","1",30,3
"BW-G3-22","1",31,1
"BW-G3-22","2",28,3
"BW-G3-22","2",29,1
"BW-G3-22","2",30,3
"BW-G3-22","2",31,1
"BW-G3-22","3",28,3
"BW-G3-22","3",29,0
"BW-G3-22","3",30,4
"BW-G3-22","3",31,0
"BW-G3-22","4",28,6
"BW-G3-22","4",29,5
"BW-G3-22","4",30,3
"BW-G3-22","4",31,0
"BW-G3-22","5",28,3
"BW-G3-22","5",29,1
"BW-G3-22","5",30,0
"BW-G3-22","5",31,1
"BW-G3-22","6",28,0
"BW-G3-22","6",29,5
"BW-G3-22","6",30,4
"BW-G3-22","6",31,2
"BW-G3-22","7",28,1
"BW-G3-22","7",29,2
"BW-G3-22","7",30,0
"BW-G3-22","8",28,0
"BW-G3-22","8",29,1
"BW-G3-22","8",30,0
"BW-HS-17","1",22,0
"BW-HS-17","1",23,1
"BW-HS-17","1",24,0
"BW-HS-17","1",25,0
"BW-HS-17","1",26,0
"BW-HS-17","2",22,0
"BW-HS-17","2",23,1
"BW-HS-17","2",24,1
"BW-HS-17","2",25,0
"BW-HS-17","2",26,1
"BW-HS-17","3",22,0
"BW-HS-17","3",23,0
"BW-HS-17","3",24,1
"BW-HS-17","3",25,0
"BW-HS-17","3",26,1
"BW-HS-17","4",22,1
"BW-HS-17","4",23,0
"BW-HS-17","4",24,1
"BW-HS-17","4",25,0
"BW-HS-17","4",26,0
"BW-HS-17","5",22,0
"BW-HS-17","5",23,1
"BW-HS-17","5",24,1
"BW-HS-17","5",25,0
"BW-HS-17","5",26,1
"BW-HS-17","6",22,0
"BW-HS-17","6",23,1
"BW-HS-17","6",24,0
"BW-HS-17","6",25,1
"BW-HS-17","6",26,0
"BW-HS-19","1",22,0
"BW-HS-19","1",23,2
