ID,Order,Family,species_sci,species,species_eng,Habitat,Nest_site,Diet,Insectivores,Wintering,Migration,Temperature_pref,Habitat_breadth,Diet_breadth,RedList_DE,RedList_EUROPE
285,Passeriformes,Emberizidae,Emberiza melanocephala,,,,,,,,,,,,,
286,Passeriformes,Emberizidae,Emberiza pallasi,,,,,,,,,,,,,
287,Passeriformes,Emberizidae,Emberiza pusilla,,,,,,,,,,,,,
288,Passeriformes,Emberizidae,Emberiza rustica,,,,,,,,,,,,,
290,Passeriformes,Estrildidae,Amandava amandava,,,,,,,,,,,,,
291,Passeriformes,Estrildidae,Estrilda astrild,,,,,,,,,,,,,
292,Passeriformes,Estrildidae,Estrilda melpoda,,,,,,,,,,,,,
293,Passeriformes,Fringillidae,Acanthis flammea,,,,,,,,,,,,,
294,Passeriformes,Fringillidae,Acanthis flammea hornemanni,,,,,,,,,,,,,
295,Passeriformes,Fringillidae,Bucanetes githagineus,,,,,,,,,,,,,
296,Passeriformes,Fringillidae,Bucanetes mongolicus,,,,,,,,,,,,,
298,Passeriformes,Fringillidae,Carduelis citrinella,,,,,,,,,,,,,
299,Passeriformes,Fringillidae,Carpodacus erythrinus,,,,,,,,,,,,,
300,Passeriformes,Fringillidae,Carpodacus rubicilla,,,,,,,,,,,,,
306,Passeriformes,Fringillidae,Linaria flavirostris,,,,,,,,,,,,,
308,Passeriformes,Fringillidae,Loxia leucoptera,,,,,,,,,,,,,
309,Passeriformes,Fringillidae,Loxia pytyopsittacus,,,,,,,,,,,,,
310,Passeriformes,Fringillidae,Loxia scotica,,,,,,,,,,,,,
311,Passeriformes,Fringillidae,Pinicola enucleator,,,,,,,,,,,,,
312,Passeriformes,Fringillidae,Pyrrhula murina,,,,,,,,,,,,,
314,Passeriformes,Fringillidae,Serinus canaria,,,,,,,,,,,,,
315,Passeriformes,Fringillidae,Serinus pusillus,,,,,,,,,,,,,
318,Passeriformes,Hirundinidae,Cecropis daurica,,,,,,,,,,,,,
321,Passeriformes,Hirundinidae,Ptyonoprogne rupestris,,,,,,,,,,,,,
325,Passeriformes,Laniidae,Lanius minor,,,,,,,,,,,,,
326,Passeriformes,Laniidae,Lanius nubicus,,,,,,,,,,,,,
327,Passeriformes,Laniidae,Lanius senator,,,,,,,,,,,,,
332,Passeriformes,Motacillidae,Anthus berthelotii,,,,,,,,,,,,,
333,Passeriformes,Motacillidae,Anthus campestris,,,,,,,,,,,,,
334,Passeriformes,Motacillidae,Anthus cervinus,,,,,,,,,,,,,
335,Passeriformes,Motacillidae,Anthus hodgsoni,,,,,,,,,,,,,
336,Passeriformes,Motacillidae,Anthus petrosus,,,,,,,,,,,,,
338,Passeriformes,Motacillidae,Anthus spinoletta,,,,,,,,,,,,,
339,Passeriformes,Motacillidae,Anthus spinoletta ssp,,,,,,,,,,,,,
343,Passeriformes,Motacillidae,Motacilla citreola,,,,,,,,,,,,,
345,Passeriformes,Muscicapidae,Calliope calliope,,,,,,,,,,,,,
346,Passeriformes,Muscicapidae,Cercotrichas galactotes,,,,,,,,,,,,,
351,Passeriformes,Muscicapidae,Ficedula parva,,,,,,,,,,,,,
352,Passeriformes,Muscicapidae,Ficedula semitorquata,,,,,,,,,,,,,
355,Passeriformes,Muscicapidae,Monticola saxatilis,,,,,,,,,,,,,
356,Passeriformes,Muscicapidae,Monticola solitarius,,,,,,,,,,,,,
358,Passeriformes,Muscicapidae,Oenanthe deserti,,,,,,,,,,,,,
359,Passeriformes,Muscicapidae,Oenanthe finschii,,,,,,,,,,,,,
360,Passeriformes,Muscicapidae,Oenanthe hispanica,,,,,,,,,,,,,
361,Passeriformes,Muscicapidae,Oenanthe isabellina,,,,,,,,,,,,,
362,Passeriformes,Muscicapidae,Oenanthe leucura,,,,,,,,,,,,,
364,Passeriformes,Muscicapidae,Oenanthe pleschanka,,,,,,,,,,,,,
365,Passeriformes,Muscicapidae,Oenanthe xanthoprymna,,,,,,,,,,,,,
370,Passeriformes,Muscicapidae,Tarsiger cyanurus,,,,,,,,,,,,,
372,Passeriformes,Panuridae,Panurus biarmicus,,,,,,,,,,,,,
374,Passeriformes,Paridae,Cyanistes cyanus,,,,,,,,,,,,,
378,Passeriformes,Paridae,Poecile cinctus,,,,,,,,,,,,,
379,Passeriformes,Paridae,Poecile lugubris,,,,,,,,,,,,,
382,Passeriformes,Passeridae,Montifringilla nivalis,,,,,,,,,,,,,
384,Passeriformes,Passeridae,Passer hispaniolensis,,,,,,,,,,,,,
385,Passeriformes,Passeridae,Passer italiae,,,,,,,,,,,,,
387,Passeriformes,Passeridae,Petronia petronia,,,,,,,,,,,,,
388,Passeriformes,Phylloscopidae,Phylloscopus bonelli,,,,,,,,,,,,,
389,Passeriformes,Phylloscopidae,Phylloscopus borealis,,,,,,,,,,,,,
393,Passeriformes,Phylloscopidae,Phylloscopus sindianus,,,,,,,,,,,,,
396,Passeriformes,Prunellidae,Prunella atrogularis,,,,,,,,,,,,,
397,Passeriformes,Prunellidae,Prunella collaris,,,,,,,,,,,,,
399,Passeriformes,Prunellidae,Prunella montanella,,,,,,,,,,,,,
402,Passeriformes,Remizidae,Remiz pendulinus,,,,,,,,,,,,,
403,Passeriformes,Scotocercidae,Cettia cetti,,,,,,,,,,,,,
405,Passeriformes,Sittadae,Sitta krueperi,,,,,,,,,,,,,
406,Passeriformes,Sittadae,Sitta neumayer,,,,,,,,,,,,,
407,Passeriformes,Sittadae,Sitta whiteheadi,,,,,,,,,,,,,
408,Passeriformes,Sittadae,Tichodroma muraria,,,,,,,,,,,,,
409,Passeriformes,Sturnidae,Acridotheres cristatellus,,,,,,,,,,,,,
410,Passeriformes,Sturnidae,Acridotheres tristis,,,,,,,,,,,,,
411,Passeriformes,Sturnidae,Pastor roseus,,,,,,,,,,,,,
412,Passeriformes,Sturnidae,Sturnus unicolor,,,,,,,,,,,,,
416,Passeriformes,Sylviidae,Sylvia cantillans,,,,,,,,,,,,,
418,Passeriformes,Sylviidae,Sylvia conspicillata,,,,,,,,,,,,,
420,Passeriformes,Sylviidae,Sylvia hortensis,,,,,,,,,,,,,
421,Passeriformes,Sylviidae,Sylvia melanocephala,,,,,,,,,,,,,
422,Passeriformes,Sylviidae,Sylvia mystacea,,,,,,,,,,,,,
423,Passeriformes,Sylviidae,Sylvia nisoria,,,,,,,,,,,,,
424,Passeriformes,Sylviidae,Sylvia ruppelli,,,,,,,,,,,,,
425,Passeriformes,Sylviidae,Sylvia sarda,,,,,,,,,,,,,
426,Passeriformes,Sylviidae,Sylvia undata,,,,,,,,,,,,,
428,Passeriformes,Turdidae,Turdus iliacus,,,,,,,,,,,,,
432,Passeriformes,Turdidae,Turdus ruficollis,,,,,,,,,,,,,
433,Passeriformes,Turdidae,Turdus torquatus,,,,,,,,,,,,,
435,Passeriformes,Turdidae,Zoothera aurea,,,,,,,,,,,,,
436,Pelecaniformes,Ardeidae,Ardea alba,,,,,,,,,,,,,
437,Pelecaniformes,Ardeidae,Ardea cinerea,,,,,,,,,,,,,
438,Pelecaniformes,Ardeidae,Ardea purpurea,,,,,,,,,,,,,
439,Pelecaniformes,Ardeidae,Ardeola ralloides,,,,,,,,,,,,,
440,Pelecaniformes,Ardeidae,Botaurus stellaris,,,,,,,,,,,,,
441,Pelecaniformes,Ardeidae,Bubulcus ibis,,,,,,,,,,,,,
442,Pelecaniformes,Ardeidae,Egretta garzetta,,,,,,,,,,,,,
443,Pelecaniformes,Ardeidae,Ixobrychus minutus,,,,,,,,,,,,,
444,Pelecaniformes,Ardeidae,Nycticorax nycticorax,,,,,,,,,,,,,
445,Pelecaniformes,Pelecanidae,Pelecanus crispus,,,,,,,,,,,,,
446,Pelecaniformes,Pelecanidae,Pelecanus onocrotalus,,,,,,,,,,,,,
447,Pelecaniformes,Threskiornithidae,Platalea leucorodia,,,,,,,,,,,,,
448,Pelecaniformes,Threskiornithidae,Plegadis falcinellus,,,,,,,,,,,,,
449,Phaethontiformes,Phaethontidae,Phaethon aethereus,,,,,,,,,,,,,
450,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus roseus,,,,,,,,,,,,,
451,Piciformes,Picidae,Dendrocopos leucotos,,,,,,,,,,,,,
453,Piciformes,Picidae,Dendrocopos syriacus,,,,,,,,,,,,,
458,Piciformes,Picidae,Picoides tridactylus,,,,,,,,,,,,,
461,Podicipediformes,Podicipedidae,Podiceps auritus,,,,,,,,,,,,,
463,Podicipediformes,Podicipedidae,Podiceps grisegena,,,,,,,,,,,,,
464,Podicipediformes,Podicipedidae,Podiceps nigricollis,,,,,,,,,,,,,
466,Procellariiformes,Hydrobatidae,Hydrobates castro,,,,,,,,,,,,,
467,Procellariiformes,Hydrobatidae,Hydrobates leucorhous,,,,,,,,,,,,,
468,Procellariiformes,Hydrobatidae,Hydrobates pelagicus,,,,,,,,,,,,,
469,Procellariiformes,Oceanitidae,Pelagodroma marina,,,,,,,,,,,,,
470,Procellariiformes,Procellariidae,Bulweria bulwerii,,,,,,,,,,,,,
471,Procellariiformes,Procellariidae,Calonectris borealis,,,,,,,,,,,,,
472,Procellariiformes,Procellariidae,Fulmarus glacialis,,,,,,,,,,,,,
473,Procellariiformes,Procellariidae,Pterodroma feae,,,,,,,,,,,,,
474,Procellariiformes,Procellariidae,Pterodroma madeira,,,,,,,,,,,,,
475,Procellariiformes,Procellariidae,Puffinus assimilis,,,,,,,,,,,,,
476,Procellariiformes,Procellariidae,Puffinus mauretanicus,,,,,,,,,,,,,
477,Procellariiformes,Procellariidae,Puffinus puffinus,,,,,,,,,,,,,
478,Procellariiformes,Procellariidae,Puffinus yelkouan,,,,,,,,,,,,,
479,Psittaciformes,Psittacidae,Myiopsitta monachus,,,,,,,,,,,,,
480,Psittaciformes,Psittacidae,Psittacula krameri,,,,,,,,,,,,,
481,Pteroclidiformes,Pteroclidae,Pterocles alchata,,,,,,,,,,,,,
482,Pteroclidiformes,Pteroclidae,Pterocles orientalis,,,,,,,,,,,,,
488,Strigiformes,Strigidae,Bubo scandiacus,,,,,,,,,,,,,
490,Strigiformes,Strigidae,Otus scops,,,,,,,,,,,,,
492,Strigiformes,Strigidae,Strix nebulosa,,,,,,,,,,,,,
493,Strigiformes,Strigidae,Strix uralensis,,,,,,,,,,,,,
494,Strigiformes,Strigidae,Surnia ulula,,,,,,,,,,,,,
496,Suliformes,Phalacrocoracidae,Microcarbo pygmaeus,,,,,,,,,,,,,
497,Suliformes,Phalacrocoracidae,Phalacrocorax aristotelis,,,,,,,,,,,,,
498,Suliformes,Phalacrocoracidae,Phalacrocorax carbo,,,,,,,,,,,,,
499,Suliformes,Sulidae,Morus bassanus,,,,,,,,,,,,,
