"site_short","site_sum","netNr","decade","effort","year","distance_m","maize_1000m","woodS_1000m","grassS_1000m","settlement_1000m","maize_750m","woodS_750m","grassS_750m","settlement_750m","maize_500m","woodS_500m","grassS_500m","settlement_500m","maize_250m","woodS_250m","grassS_250m","settlement_250m","maize_100m","woodS_100m","grassS_100m","settlement_100m","prop_weed","Hoehe_cm","lon","lat","julian_day"
"BB-A1-23","BB-AA","3",26,299.166666666667,2023,15.2,30.5,5.42,6.96,0,26.45,2.13,11.02,0,31.27,2.2,4.28,0,33.02,2.87,0.28,0,47.09,5.69,0,0,40,200,14.3610438,52.507424,26
"BB-A1-23","BB-AA","3",27,200,2023,15.2,30.5,5.42,6.96,0,26.45,2.13,11.02,0,31.27,2.2,4.28,0,33.02,2.87,0.28,0,47.09,5.69,0,0,50,200,14.3610438,52.507424,27
"BB-A1-23","BB-AA","3",28,174.166666666667,2023,15.2,30.5,5.42,6.96,0,26.45,2.13,11.02,0,31.27,2.2,4.28,0,33.02,2.87,0.28,0,47.09,5.69,0,0,60,200,14.3610438,52.507424,28
"BB-A1-23","BB-AA","4",22,150,2023,19,31.32,5.61,6.94,0,28.24,2.52,10.32,0,33.34,2.26,3.26,0,32.5,3.29,0.28,0,43.61,6.13,0,0,60,190,14.3607676,52.5071186,22
"BB-A1-23","BB-AA","4",23,200,2023,19,31.32,5.61,6.94,0,28.24,2.52,10.32,0,33.34,2.26,3.26,0,32.5,3.29,0.28,0,43.61,6.13,0,0,60,192.5,14.3607676,52.5071186,23
"BB-A1-23","BB-AA","4",24,199.583333333333,2023,19,31.32,5.61,6.94,0,28.24,2.52,10.32,0,33.34,2.26,3.26,0,32.5,3.29,0.28,0,43.61,6.13,0,0,60,195,14.3607676,52.5071186,24
"BB-A1-23","BB-AA","4",25,299.166666666667,2023,19,31.32,5.61,6.94,0,28.24,2.52,10.32,0,33.34,2.26,3.26,0,32.5,3.29,0.28,0,43.61,6.13,0,0,50,195,14.3607676,52.5071186,25
"BB-A1-23","BB-AA","4",26,299.166666666667,2023,19,31.32,5.61,6.94,0,28.24,2.52,10.32,0,33.34,2.26,3.26,0,32.5,3.29,0.28,0,43.61,6.13,0,0,35,190,14.3607676,52.5071186,26
"BB-A1-23","BB-AA","4",27,200,2023,19,31.32,5.61,6.94,0,28.24,2.52,10.32,0,33.34,2.26,3.26,0,32.5,3.29,0.28,0,43.61,6.13,0,0,55,195,14.3607676,52.5071186,27
"BB-A1-23","BB-AA","4",28,174.166666666667,2023,19,31.32,5.61,6.94,0,28.24,2.52,10.32,0,33.34,2.26,3.26,0,32.5,3.29,0.28,0,43.61,6.13,0,0,55,195,14.3607676,52.5071186,28
"BB-A1-23","BB-AA","5",22,150,2023,18.6,31.63,5.51,6.94,0,28.64,2.51,10.42,0,34.09,2.27,3.42,0,33.89,3.39,0.27,0,46.29,6.09,0,0,60,210,14.3606476,52.5071109,22
"BB-A1-23","BB-AA","5",23,200,2023,18.6,31.63,5.51,6.94,0,28.64,2.51,10.42,0,34.09,2.27,3.42,0,33.89,3.39,0.27,0,46.29,6.09,0,0,57.5,212.5,14.3606476,52.5071109,23
